Feature	 Category 	 Polarity 
desserts alongside tea	meal	neutral
good hearty meal	meal	good
pizza side salad	dish	neutral
bit disappointed	dish	bad
good bowl soup	dish	good
cheese toast honey	food	neutral
friendly service fast	service	good
not_cheese baguette	food	neutral
hazelnut chocolate eclair	food	neutral
impressive service	service	good
meal visiting	meal	neutral
lunch cuban	meal	neutral
recommended quick bite	meal	good
breakfast pick	meal	neutral
staff incredibly welcoming	staff	good
pudding cake	dish	neutral
table food	food	neutral
dish bltfavourite juice	dish	neutral
not_first timer brunchy	meal	neutral
not_food fresh	food	bad
first disappointed bit	dish	bad
neglectful service friday	service	neutral
prices unbelievable	cost	bad
service amazing	service	good
food short	food	neutral
disappointed bit	dish	bad
picnic parc	meal	neutral
staff+free wi-fi	staff	neutral
not_hearty soup	dish	neutral
great food fun	food	good
not_good selection tea	meal	bad
salad perfect	dish	good
special occasion	dish	neutral
bubble tea place	meal	neutral
organic produce market	food	neutral
salmon cake salad	dish	neutral
not_green tea ginger	meal	neutral
main brunch bring	meal	neutral
food dismal	food	bad
yogurts buy	food	neutral
not_lebanese food modesty	food	bad
custard need	dish	neutral
not_stop point day	dish	neutral
've brunch	meal	neutral
not_grab handheld bite	meal	neutral
meal good	meal	good
coconut bacon lettuce	food	neutral
staff polite	staff	good
go instead	meal	neutral
service prompt	service	good
sometimes dinner	meal	neutral
disappointed place reading	dish	bad
vegan meat sandwich	food	neutral
faure teaching	meal	neutral
pastries cakes downtown	dish	neutral
salad bread	dish	neutral
great superb chocolate	food	good
buttery flaky delicious	food	neutral
food cold	food	bad
quick snack anyone	meal	neutral
mixed coconut milk	food	neutral
not_table lunch time	meal	neutral
dinners massive	meal	neutral
meal day	meal	neutral
mine steak/cheese	meal	neutral
fresh chocolate	food	good
milk tea jasmine	meal	neutral
current look menu	menu	neutral
favorite part breakfast	meal	good
steak cheese	meal	neutral
lunch last	meal	neutral
food great	food	good
quick bite munch	meal	neutral
full meal	meal	neutral
pork gruyere cheese	food	neutral
cheese avocado sandwich	food	neutral
sit-down lunch	meal	neutral
prices include	cost	neutral
not_seasonal produce create	food	neutral
cheese scramble	food	bad
certainly special	dish	neutral
extensive menu	menu	neutral
brunch still comfortable	meal	good
proud food	food	good
not_menu chili	dish	neutral
food scrumptious	food	neutral
tools cheese	food	neutral
franchise chocolate	food	neutral
not_uncheesecake alone	dish	neutral
nice snack	meal	good
meals still think	meal	neutral
salmon cake amazing	dish	good
sorbet instead nasty	meal	bad
positive food	food	good
options lunch	meal	neutral
breakfast go	meal	neutral
drinking tea	meal	neutral
montreal brunch	meal	neutral
service fast friendly	service	good
hard decide chocolate	food	bad
not_breakfast amazing	meal	bad
fish sandwich	food	neutral
announce brunch	meal	neutral
maple chocolate way	food	neutral
not_hot chocolate shabby	food	neutral
not_and/or chili	dish	neutral
not_drinking chocolate	food	neutral
goat-cheese-esque hint plenty	food	neutral
friendly efficient staff	staff	good
not_things menu chili	dish	neutral
fries cheese	food	neutral
point nice	dish	good
guessing breakfast	meal	neutral
mac cheese	food	neutral
not_soup day	dish	neutral
lunch downtown	meal	neutral
tasty staff	staff	neutral
moving plateau	meal	neutral
nice hearty snack	meal	good
picnic mt	meal	neutral
staff attending	staff	neutral
nice coffee staff	staff	good
chocolate/banana piestaff	staff	neutral
staff super friendly	staff	good
not_pizza- waffle ice	dish	neutral
good brunch place	meal	good
walking salad	dish	neutral
salad stole show	dish	bad
menu strictly chef-driven	menu	bad
amazing team	meal	good
good bar food	food	good
salad fruit salmon	dish	neutral
special breakfast fuel	meal	neutral
not_'meats tasty	food	neutral
dinner starving	meal	neutral
however brunch much	meal	neutral
picky chai tea	meal	bad
even chocolate pizzas	dish	neutral
not_next morning chocolate	food	neutral
especially usd conversion	dish	neutral
prices great	cost	good
thigh meat	food	neutral
food generous	food	good
tea chinese	meal	neutral
menuspacious wait	menu	neutral
unbelievably buttery	food	bad
much chocolate time	food	neutral
enough lunch	meal	good
soup corn	dish	neutral
garlic yogurt chicken	food	neutral
food reasonable	food	good
cheesecake really delicious	dish	good
full menu	menu	neutral
dish chocolate dip	dish	neutral
menu mac cheese	menu	neutral
not_salad duck leg	dish	neutral
really good pizzaaa	dish	good
service casual	service	neutral
salad amount	dish	neutral
like chocolate	food	good
menu full	menu	neutral
not_cakes go	dish	neutral
teachocolatemango amazing	meal	good
especially caramelized	dish	neutral
pastry custard	dish	neutral
awesome meat alternative	food	good
using meat	food	neutral
quick meal	meal	neutral
brunch menu good	meal	good
fries dinner	meal	neutral
not_dinner destination meal	meal	neutral
recommend chocolate pizzas	dish	good
sure request menus	menu	neutral
price great	cost	good
instead eating	meal	neutral
not_chocolate huge	food	neutral
not_creamy chocolate interior	food	neutral
not_chocolate good	food	bad
saturday-sunday brunch	meal	neutral
outstanding food	food	good
salad ridiculous amount	dish	bad
staff running around	staff	neutral
not_buttery still fantastic	food	bad
efficient staff	staff	good
service run	service	neutral
picnic mountain	meal	neutral
staff helpful	staff	good
service pretty good	service	good
recommend chocolate peanut	food	good
generous food	food	good
smoked fish sandwich	food	neutral
cheeses even individual	food	neutral
excellent vegan food	food	good
especially clt	dish	neutral
falafel 've	dish	neutral
un cheesecake	dish	neutral
not_sunday family dinner	meal	neutral
not_disappointed restaurant fact	dish	good
confusing mess	meal	bad
get pricey	cost	bad
great tea selection	meal	good
foodies rejoice	food	good
slow delivery service	service	bad
food many	food	neutral
service charming	service	good
menu wide	menu	neutral
not_big dinner	meal	neutral
not_meal soaking	meal	neutral
chocolate sauce	food	neutral
brunch always solid	meal	good
cheese accent	food	neutral
pretty busy brunch	meal	good
great choice meat	food	good
good meal flavorful	meal	good
lunches front	meal	neutral
salads premeditate	dish	neutral
cheese steak bacon	meal	neutral
pasta great	dish	good
not_even special	dish	neutral
well maple-yservice	service	good
slightly disappointing almond	dish	bad
not_huge fan chocolate	food	neutral
brunch aside brunch	meal	neutral
final montreal lunch	meal	neutral
especially restaurant	dish	neutral
p especially	dish	neutral
salads bowls really	dish	neutral
quite disappointed	dish	bad
bit messy	meal	bad
love restaurant menu	menu	good
authentic food	food	good
not_food top	food	bad
not_service quite slow	service	good
