Feature	 Category 	 Polarity 
lovely picnic basket	meal	good
good food	food	good
menu extremely generous	menu	good
scrumptious lobster soup	dish	good
small piece chocolate	food	neutral
tender-pandan custard	dish	neutral
choice menu	menu	neutral
especially raw salmon	dish	neutral
not_special night fish	dish	neutral
incredible service exquisite	service	good
instead waiting inside	meal	neutral
soup oddly delicious	dish	good
things chocolate	food	neutral
well meal	meal	good
disappointing choice crescent	dish	bad
fantastic food good	food	good
dish sort wizardry	dish	good
not_sorry food omg	food	good
point helpful	dish	good
dripdinner really good	meal	good
menu surprisingly affordable	menu	good
staff full	staff	neutral
prefer meal	meal	good
chocolate brownie	food	neutral
not_good dish gravy	dish	bad
not_delicious service	service	bad
never horse meat	food	neutral
pies meal 've	meal	neutral
even 3-course meal	meal	neutral
outstanding meat/seafood	food	good
butters interesting	food	good
anonymous meat curry	dish	neutral
menu watermelon	menu	neutral
sandwich always meaty	food	neutral
service amazing	service	good
experiencing food	food	neutral
flaky buttery warm	food	bad
several pricey	cost	bad
well worth price	cost	good
service slow	service	bad
not_food live	food	neutral
totally worth price	cost	good
decouverte menu	menu	neutral
three-course tasting menu	menu	neutral
salad rice	dish	neutral
duck meat	food	neutral
service attentive professional	service	good
not_culinary feast hubby	meal	neutral
menu able	menu	neutral
pasta day	dish	neutral
not_magical show food	food	bad
favorite appetizer risotto	dish	good
not_food coming table	food	neutral
chili-blackberry soda whole	dish	neutral
hard teaser lobster	meal	bad
melting cheese	food	neutral
really special restaurant	dish	good
price especially french	dish	neutral
staff incredible	staff	good
dinner quite good	meal	good
lunches take	meal	neutral
fishing club	food	neutral
yogurt great	food	good
pizzazz wasnt	dish	neutral
cantons brunch sucré	meal	neutral
friendly staff	staff	good
cheese plate port	food	neutral
menu amazing	menu	good
food really great	food	good
limited menu	menu	bad
not_basically dish	dish	neutral
mess -handwritten	meal	bad
not_food delicious	food	bad
wide choice food	food	good
salads taboulli much	dish	neutral
tacos pretty good	dish	good
strawberries chocolate	food	neutral
not_flavorful seafood chef	food	neutral
fanciful service	service	bad
not_good tasty menu	menu	bad
small menu	menu	neutral
final sushi/maki plate	dish	neutral
service general	service	neutral
first dish	dish	neutral
fresh produce	food	good
trip disappointing	dish	bad
beautiful yoghurt praline	food	good
cool wait staff	staff	good
fish everrrr	food	neutral
finishing dinner	meal	neutral
place special	dish	neutral
favorite sushi place	dish	good
not_perfectly steak lobster	meal	bad
cheese entire life	food	neutral
good service	service	good
special menu	dish	good
tray bite-sized	meal	neutral
lunch late	meal	neutral
not_butter absolutely excellent	food	bad
full responsibility meal	meal	good
worlds tastiest 'cheese	food	good
tasty specially	dish	good
moment eating dish	dish	neutral
chatty meal	meal	neutral
happen food	food	neutral
careful service family	service	good
great meal	meal	good
optimal meal	meal	good
service atypical	service	good
not_halibut dish	dish	neutral
steady stream eat-in	meal	good
hot cheese	food	good
service wise	service	good
food exceptional	food	good
safe dinner-	meal	good
brunch last	meal	neutral
truly homemade food	food	good
not_bad service	service	good
sausages butter	food	neutral
terms menu	cost	neutral
not_say food	food	neutral
not_dishes everything	dish	neutral
salad fresh	dish	good
french bistro food	food	neutral
not_prices moderate	cost	neutral
steak 've	meal	neutral
pretty affordable price	cost	good
chocolate tart	food	neutral
adorable menu	menu	good
food extensive	food	good
not_away cheese whiz	food	neutral
delicious brunch	meal	good
breakfast tea	meal	neutral
menu many	menu	neutral
not_dishes taste	dish	neutral
expensive meal trip	meal	bad
dish filling	dish	neutral
food *even	food	neutral
small sashimi plate	dish	neutral
italy breakfast tea	meal	neutral
menu revolving	menu	neutral
authentic soup tasty	dish	good
walking salad	dish	neutral
brioches breakfast	meal	neutral
great food amazing	food	good
not_next day meal	meal	neutral
comforting meal	meal	good
dishes taking	dish	neutral
not_service impeccable	service	bad
much food	food	neutral
not_dishes chocolate light	dish	neutral
not_food really heavy	food	good
special dinner	meal	good
not_service remarkable	service	bad
delicious meal	meal	good
food really fresh	food	good
solid meal price	meal	good
food incredible	food	good
restaurants first meal	meal	neutral
mid-priced dining table	cost	neutral
amazing food	food	good
dish impressive	dish	good
cheese pastry thing	food	neutral
professional service food	food	good
convenient importantly- food	food	good
common service	service	neutral
steak mushroom steak	meal	neutral
food fanatic	food	bad
rind chocolate-covered	food	neutral
delicious meat	food	good
thoughtful menu	menu	good
avoid disappointment	dish	bad
excuisitely delicious food	food	good
hard cheese mild	food	bad
exceptional food good	food	good
dishes average	dish	bad
not_good meat	food	bad
fresh pasta venison	dish	good
food reasonable	food	good
menu really delicious	menu	good
rice pudding	dish	neutral
menu well	menu	good
plus brunch	meal	neutral
street picnic	meal	neutral
ginormous service	service	good
delicious relaxing meal	meal	good
sooo much food	food	neutral
trying coconut	food	neutral
top head dinner	meal	good
ridiculously delicious service	service	good
menu really interesting	menu	good
pushing food	food	neutral
menu full	menu	neutral
truffle-cheese popcorn think	food	neutral
delicious food looking	food	good
thanks staff	staff	good
impeccable waitstaff	staff	good
not_food n't great	food	bad
go food	food	neutral
affordable sushi sushi	dish	good
interesting meal	meal	good
food 've	food	neutral
double date- dinner	meal	neutral
opentable menu	menu	neutral
not_worth price	cost	bad
great explaining dish	dish	good
really fantastic dinner	meal	good
great turnover	dish	good
price great	cost	good
visually appealing meal	meal	good
