Feature	 Category 	 Polarity 
lovely picnic basket	meal	good
good food	food	good
scrumptious lobster soup	dish	neutral
tender-pandan custard	dish	neutral
knowledgeable staff chef	staff	good
not_want sushi	dish	neutral
not_basically dish	dish	neutral
well meal	meal	good
recommend breakfast anyone	meal	good
quite bratty point	dish	neutral
not_final price	cost	neutral
Also meal	meal	neutral
prefer meal	meal	good
not_good dish gravy	dish	bad
not_delicious service	service	bad
good meal birthday	meal	good
music menu	menu	neutral
anonymous meat curry	dish	neutral
menu watermelon	menu	neutral
also curry	dish	neutral
well worth price	cost	good
adorable food	food	good
fairly early dinner	meal	good
three-course tasting menu	menu	neutral
salad rice	dish	neutral
duck meat	food	neutral
not_magical show food	food	bad
reasonable food	food	good
chili-blackberry soda whole	dish	neutral
really special restaurant	dish	neutral
outstanding meal	meal	good
start meal	meal	neutral
pizzazz wasnt	dish	neutral
friendly staff	staff	good
salad bread	dish	neutral
cheese plate port	food	neutral
quick snack anyone	meal	neutral
first bite AMAZING	meal	neutral
small menu	menu	neutral
lucky meal	meal	good
wide choice food	food	neutral
not_flavorful seafood chef	food	neutral
steak cheese	meal	neutral
final sushi/maki plate	dish	neutral
first dish	dish	neutral
fresh produce	food	good
fish everrrr	food	neutral
fast food	food	good
not_perfectly steak lobster	meal	bad
great meal haha	meal	good
good service	service	good
unique fish dish	dish	neutral
overall meal	meal	neutral
also chocolate	food	neutral
tasty specially	dish	neutral
casual menu	menu	neutral
especially hard teaser	meal	bad
dish sort wizardry	dish	neutral
happen food	food	neutral
not_range food	food	neutral
possible serving food	food	neutral
optimal meal	meal	good
amicable menu	menu	good
hot cheese	food	good
not_bad service	service	good
rich food	food	good
not_say food	food	neutral
Finished food	food	neutral
exceptional service	service	good
sushi roll	dish	neutral
not_n't bad service	service	good
chocolate tart	food	neutral
bite-sized bread	meal	neutral
Indian food say	food	neutral
expensive meal trip	meal	bad
small sashimi plate	dish	neutral
Mid-priced dining earn	cost	neutral
authentic soup tasty	dish	good
great food amazing	food	good
not_next day meal	meal	neutral
not_dish bc 'm	dish	neutral
side butternut	food	neutral
hot melting cheese	food	good
truly exquisite meal	meal	good
special dinner	meal	neutral
delicious meal	meal	good
solid meal price	meal	good
mid-priced dining table	cost	neutral
dish wine sooo	dish	neutral
convenient importantly- food	food	good
sticky coconut rice	food	bad
steak mushroom steak	meal	neutral
great point sweet	dish	good
delicious meat	food	good
avoid disappointment	dish	bad
excuisitely delicious food	food	good
expensive dinner	meal	bad
exceptional food good	food	good
not_great dish	dish	bad
high-end service	service	neutral
delightful lunch salmon	meal	good
menu well	menu	good
not_breast dessert chocolate	food	neutral
attractive staff	staff	good
delicious relaxing meal	meal	good
delicious start meal	meal	good
instead essential element	meal	neutral
Asian food	food	neutral
top head dinner	meal	good
ridiculously delicious service	service	neutral
stylish spot service	service	good
not_special anything food	dish	neutral
attentive service	service	good
affordable sushi sushi	dish	good
full turnover	dish	neutral
chocolate lollipop	food	neutral
great turnover	dish	good
plenty menu	menu	neutral
sunny afternoon brunch	meal	neutral
typical syrup butter	food	neutral
memorable meal eaten	meal	good
bread service	service	neutral
not_delicious staff	staff	bad
flavorful dish	dish	neutral
not_back brunch	meal	neutral
fish taco lobster	dish	neutral
many-layered chocolate hazelnut	food	neutral
Next DimSum dish	dish	neutral
wonderful family dinner	meal	good
dish touch fusion	dish	neutral
picnic enjoy	meal	good
nicely pungent cheese	food	good
not_Indian food	food	neutral
cheese gravy	food	neutral
well cheese	food	good
dish guineafowl dish	dish	neutral
buttery lobster	food	neutral
special appetizer sashimi	dish	neutral
not_generally decent food	food	bad
not_breakfast smallish lunch	meal	good
lot menu	menu	neutral
good point trip	dish	good
not_even special	dish	neutral
hot food cold	food	neutral
make payment	cost	neutral
overly oily meat	food	neutral
also great brunch	meal	good
fish drew	food	neutral
dish dish	dish	neutral
really special	dish	neutral
fish cucumber salad	dish	neutral
generic salad	dish	neutral
5/5Good food good	food	good
sweet yogurt	food	good
not_Asian food	food	neutral
picnic right time	meal	good
wonderful food day	food	good
cheese side	food	neutral
crumbly buttery goodness	food	good
white chocolate basil	food	neutral
brunch much	meal	neutral
'd expect steak	meal	neutral
able get lunch	meal	neutral
different menus husband	menu	neutral
hard teaser	meal	bad
cheese obligatory	food	neutral
not_traditional sushi menu	dish	neutral
nice snack menu	meal	good
never unique fish	food	neutral
never happen food	food	neutral
not_absolutely perfectly steak	meal	bad
not_small loaf brioche	food	neutral
not_goat cheese think	food	neutral
special sea bass	dish	neutral
good cheap food	food	neutral
memorable dish	dish	good
fantastic piece cake	dish	good
main dish	dish	neutral
apple butter	food	neutral
current menu	menu	neutral
extremely reasonable price	cost	good
tone meal	meal	neutral
Overall disappointing experience	dish	bad
knowledgeable service	service	good
exquisite meal	meal	good
not_picnic basket option	meal	neutral
main meal	meal	neutral
thin fish/ person	food	neutral
chatty meal	meal	neutral
not_grab lunch	meal	neutral
not_sashimi right	dish	bad
great service	service	good
not_much pie dish	dish	neutral
3-course meal	meal	neutral
really great point	dish	good
atmosphere great staff	staff	good
special gravy sauce	dish	neutral
not_wrong food good	food	neutral
great lunch	meal	good
not_remarkable food warm	food	bad
price-tag bit fast	cost	good
courteous service	service	good
indulgent food	food	good
not_never bread pudding	dish	neutral
