Feature	 category 	 polarity 
lovely picnic basket	meal	good
raise price	cost	neutral
scrumptious lobster soup	dish	neutral
good money dinner	meal	good
tender-pandan custard	dish	neutral
especially lamb	dish	neutral
steak lobster	meal	neutral
much cheese	food	neutral
surprisingly deliciously soupy	dish	neutral
delicious dinner oyster	meal	good
organic peanut butter	food	neutral
good breakfast lunch	meal	good
good lentil soup	dish	good
quite bratty point	dish	neutral
fantastic risotto	dish	good
fantastic fish	food	good
fresh sashimi shrimp	dish	good
chocolate brownie	food	neutral
actually caesar salad	dish	neutral
never horse meat	food	neutral
hard cheese mild	food	bad
anonymous meat curry	dish	neutral
salad great size	dish	good
special anything food	dish	neutral
several pricey	cost	bad
well worth price	cost	good
cheese server	food	neutral
right mac cheese	food	good
fairly early dinner	meal	good
especially foie	dish	neutral
duck meat	food	neutral
chocolate cake	dish	neutral
chili-blackberry soda whole	dish	neutral
really special restaurant	dish	neutral
meat tender juicy	food	good
pizzazz wasnt	dish	neutral
salad bread	dish	neutral
've gone salad	dish	neutral
quick snack anyone	meal	neutral
first bite AMAZING	meal	neutral
Canadian style meat	food	neutral
start meat	food	neutral
cheese gravy	food	neutral
final sushi/maki plate	dish	neutral
hot cheese onslaught	food	neutral
ever steak	meal	neutral
fresh produce	food	good
meat bowl	food	neutral
fish everrrr	food	neutral
traditional sushi menu	dish	neutral
local brunch spot	meal	neutral
special menu	dish	neutral
traffic lunchtime	meal	neutral
also chocolate	food	neutral
last bite	meal	neutral
especially hard teaser	meal	bad
great ok chili	dish	good
unique sushi menu	dish	neutral
great worth price	cost	good
fat duck meat	food	bad
cheese right amount	food	good
goat cheese think	food	neutral
fish sandwich	food	neutral
especially thin place	dish	neutral
sushi roll	dish	neutral
much steak	meal	neutral
beautiful sushi platter	dish	good
bite-sized bread	meal	neutral
cheese know	food	neutral
delicious hot cheese	food	good
special occasion consider	dish	neutral
big sushi fan	dish	neutral
small sashimi plate	dish	neutral
Mid-priced dining earn	cost	neutral
authentic soup tasty	dish	good
really dug salad	dish	neutral
cheese bottom	food	neutral
side butternut	food	neutral
special dinner	meal	neutral
salad raw tuna	dish	neutral
solid meal price	cost	good
mid-priced dining table	cost	neutral
meat-centric restaurant	food	neutral
sticky coconut rice	food	bad
delicious meat	food	good
last supper	meal	neutral
avoid disappointment	dish	bad
expensive dinner	meal	bad
disappointed learn brunch	meal	bad
fresh pasta venison	dish	good
real price suggest	cost	neutral
buttery lobster	food	neutral
first bite time	meal	neutral
bad price	cost	bad
top head dinner	meal	good
special got appreciate	dish	good
truffle-cheese popcorn think	food	neutral
really pricey	cost	bad
daily fish	food	neutral
double date- dinner	meal	neutral
chocolate lollipop	food	neutral
subpar salad	dish	neutral
really fantastic dinner	meal	good
dug salad	dish	neutral
sunny afternoon brunch	meal	neutral
spouse/bff/special person life	dish	neutral
also curry	dish	neutral
vegetable meat	food	neutral
brunch selection	meal	neutral
delicious salad nothing	dish	good
especially duck foi	dish	neutral
early avoid disappointment	dish	bad
many-layered chocolate hazelnut	food	neutral
wonderful family dinner	meal	good
picnic enjoy	meal	good
nicely pungent cheese	food	good
well cheese	food	good
dried meat strip	food	neutral
special appetizer sashimi	dish	neutral
absolutely perfectly steak	meal	good
right price-point love	dish	good
bite crisp	meal	good
picnic go	meal	neutral
chocolate almond	food	neutral
good point trip	dish	good
old school steak	meal	neutral
dry cheesecake cheese	dish	neutral
make payment	cost	neutral
overly oily meat	food	neutral
also great brunch	meal	good
bite eat	meal	neutral
fish drew	food	neutral
really special	dish	neutral
fish cucumber salad	dish	neutral
especially temperature	dish	neutral
sweet yogurt	food	good
picnic right time	meal	good
cheese side	food	neutral
white chocolate basil	food	neutral
cheese beyond	food	neutral
terrible human price-tag	cost	bad
special 'm	dish	neutral
able get lunch	meal	neutral
cheese obligatory	food	neutral
'soup nazi form	dish	neutral
add cheese kimbap	food	neutral
small bite salty	meal	neutral
nice snack menu	meal	good
Japanese fusion sushi	dish	neutral
're craving sushi	dish	neutral
cheese made mistake	food	bad
special sea bass	dish	neutral
large parmesan cheese	food	neutral
fantastic piece cake	dish	good
sure enjoying dinner	meal	good
apple butter	food	neutral
extremely reasonable price	cost	good
top tender steak	meal	good
gravy cheese	food	neutral
couscous salad	dish	neutral
Especially voicemail box	dish	neutral
cheese weird service	food	bad
bad meat strip	food	bad
wonderful cheese stick	food	good
thin fish/ person	food	neutral
special app day	dish	neutral
small piece chocolate	food	neutral
special treat	dish	neutral
delicious texture salad	dish	good
Generous portion meat	food	neutral
large seafood pancake	dish	neutral
worth dinner	meal	good
pretty picky meat	food	neutral
special waitstaff great	dish	good
delicious cod fish	food	good
thoughtful milk tea	meal	good
go back brunch	meal	neutral
High-priced dining earn	cost	neutral
special never	dish	neutral
great lunch	meal	good
equally fantastic fish	food	good
special flavor party	dish	neutral
bite food	meal	neutral
raw salmon salad	dish	neutral
lunch rush college	meal	neutral
intricate omelette	dish	good
salad middle weird	dish	bad
-style salad	dish	neutral
particular risotto salty	dish	neutral
thin hashbrown	dish	neutral
final price	cost	neutral
favorite appetizer risotto	dish	good
tear doubt	meal	bad
'cheese cigar	food	neutral
affordable price	cost	good
typical ham cheese	food	neutral
special effect point	dish	neutral
authentic sushi	dish	good
eschew meat	food	bad
tremendous turnover	dish	neutral
reasonable price smaller	cost	good
deliciously soupy	dish	neutral
instead regular ol	meal	neutral
excellent side salad	dish	good
crust flaky buttery	food	bad
white fish	food	neutral
special occasion server	dish	neutral
top list seafood	food	good
instead raw	meal	neutral
little salad person	dish	neutral
cheese dinner finish	meal	neutral
mean breakfast sandwich	meal	neutral
high price point	dish	neutral
reasonable price	cost	good
expensive price range	cost	bad
especially oiliness	dish	neutral
breakfast anyone	meal	neutral
soft sushi rice	dish	good
chocolate pot	food	neutral
unbeatable meat	food	good
especially 'll sticking	dish	neutral
special scallop amuse	dish	good
different chocolate	food	neutral
'd expect steak	meal	neutral
cheese crispy	food	neutral
particular cheese	food	neutral
far delicious brunch	meal	good
French dinner cap	meal	neutral
high-priced dining	cost	bad
delicious house salad	dish	good
fish bison bison	food	neutral
casual price point	dish	neutral
really pricey brunch	meal	bad
especially eat	dish	neutral
roll sushi	dish	neutral
fish taco lobster	dish	neutral
favourite butter chicken	food	neutral
even special	dish	neutral
maple syrup yogurt	food	neutral
steady stream eat-in	meal	good
special occasion	dish	neutral
early dinner	meal	neutral
standard chocolate ganache	food	neutral
many sushi	dish	neutral
basic cheese	food	neutral
caesar salad foam	dish	neutral
especially several	dish	neutral
special note	dish	neutral
high-priced dining linen	cost	bad
special Everything	dish	neutral
delicious got lunch	meal	good
cheese course perfect	food	good
chocolate savoury	food	neutral
special evening	dish	neutral
bite-sized dulce	meal	neutral
exceptionally good pricey	cost	good
generous got pasta	dish	good
limited salad choose	dish	bad
especially memorable	dish	good
meat-ed point trip	dish	neutral
fantastic brunch	meal	good
crispy warm steak	meal	good
small kick chili	dish	neutral
special restaurant	dish	neutral
buttery goodness great	food	good
chocolate cake creamy	dish	neutral
fresh kitchen tea	meal	good
special day	dish	neutral
breakfast try	meal	neutral
giant steak seafood	meal	neutral
good price road	cost	good
delicious cheese	food	good
fresh fruit yogurt	food	good
squid octopus salad	dish	neutral
small tasty salad	dish	neutral
Indian dinner home	meal	neutral
incredible chocolate tart	food	good
special day veal	dish	neutral
bad soup amazinggggg	dish	bad
think price	cost	neutral
light steak lobster	meal	neutral
steep price tag	cost	bad
special try wont	dish	neutral
cheese salty blue	food	neutral
great price	cost	good
special poutine	dish	neutral
new sushi	dish	neutral
place dissapoint	dish	neutral
good pricey night	cost	neutral
single bite	meal	neutral
mac-n-cheese -because	food	neutral
tuna/salmon salad	dish	neutral
high price think	cost	neutral
good brie cheese	food	good
steak mushroom steak	meal	neutral
last minute dinner	meal	neutral
steak also	meal	neutral
romantic wife fish	food	good
luckly lunch rush	meal	neutral
well great lunch	meal	good
various sushi	dish	neutral
served price bit	cost	neutral
grab lunch	meal	neutral
picnic basket	meal	neutral
special someone want	dish	neutral
first bite	meal	neutral
especially raw salmon	dish	neutral
rather expensive price	cost	bad
good hash	dish	good
mac-n-cheese cheesy	food	bad
breakfast highlight night	meal	neutral
necessary point	dish	neutral
instead essential element	meal	neutral
back affordable sushi	dish	good
full turnover	dish	neutral
Delicious chocolate croissant	food	neutral
enough dish fish	food	good
cheese extraction	food	neutral
cheese frosting	food	neutral
favorite sushi place	dish	good
special salmon dining	dish	neutral
special occasion meal	dish	neutral
dish fish	food	neutral
unconventional sushi stop	dish	neutral
chocolate almond croissant	food	neutral
Grenoble/Warm goat cheese	food	neutral
meat eater	food	neutral
pricey brunch	meal	bad
table lunch time	meal	neutral
toast cheese	food	neutral
especially naan shahi	dish	neutral
wonderful price tag	cost	good
beautiful hazelnut chocolate	food	good
couscous kibbeh	dish	neutral
delicious bite ball	meal	good
horse meat	food	neutral
soon good dinner	meal	good
special friend	dish	neutral
big price	cost	neutral
first cheese salty	food	neutral
over-priced tourist trap	cost	bad
special occasion indulge	dish	bad
pasta much	dish	neutral
breakfast standpoint	meal	neutral
first lunch	meal	neutral
repeatedly great turnover	dish	good
disappointing present simple	dish	bad
picnic basket take	meal	neutral
breakfast sweet surprise	meal	good
especially cheek	dish	neutral
garlic butter	food	neutral
famous seafood pancake	dish	good
Also fish taco	dish	neutral
quick lunch	meal	neutral
specially salad	dish	neutral
good price	cost	good
late bite	meal	neutral
definitely worth price	cost	good
also delicious salad	dish	good
cheese pesto spread	meal	neutral
big brunch	meal	neutral
sure went brunch	meal	neutral
European style breakfast	meal	neutral
perfectly steak lobster	meal	good
chocolate coffee sauce	food	neutral
pungent cheese	food	neutral
splurged dinner reservation	meal	neutral
average steak	meal	neutral
late breakfast egg	meal	neutral
back breakfast try	meal	neutral
new steak	meal	neutral
back brunch	meal	neutral
've couple sushi	dish	neutral
over-priced meal	cost	bad
little pricey	cost	bad
huge breakfast person	meal	neutral
special cobia	dish	neutral
enough breakfast smallish	meal	neutral
great brunch	meal	good
delicious crust buttery	food	good
huge handful salad	dish	neutral
direct quote cheese	food	neutral
bite absolute heaven	meal	good
dish piglet risotto	dish	neutral
great value lunch	meal	good
breakfast smallish lunch	meal	bad
beautiful yoghurt praline	food	good
back tear doubt	meal	bad
gluten-free pancake	dish	neutral
obviously mac-n-cheese-	food	neutral
mold everything	dish	neutral
